box,id,age,sex,total.act,age.death,age.group20
a1,a1.blue,1,m,959,19,2.Average
a1,a1.blue,7,m,569,19,2.Average
a1,a1.blue,14,m,986,19,2.Average
a1,a1.gold,1,m,234,25,2.Average
a1,a1.gold,7,m,655,25,2.Average
a1,a1.gold,14,m,824,25,2.Average
a1,a1.gold,21,m,878,25,2.Average
a1,a1.green,1,m,732,13,2.Average
a1,a1.green,7,m,938,13,2.Average
a1,a1.lightblue,1,m,316,25,2.Average
a1,a1.lightblue,7,m,665,25,2.Average
a1,a1.lightblue,14,m,706,25,2.Average
a1,a1.lightblue,21,m,823,25,2.Average
a1,a1.orange,1,m,437,28,2.Average
a1,a1.orange,7,m,112,28,2.Average
a1,a1.orange,14,m,221,28,2.Average
a1,a1.orange,21,m,281,28,2.Average
a1,a1.pink,1,m,134,29,2.Average
a1,a1.pink,7,m,529,29,2.Average
a1,a1.pink,14,m,567,29,2.Average
a1,a1.pink,21,m,388,29,2.Average
a1,a1.purple,1,m,301,25,2.Average
a1,a1.purple,7,m,779,25,2.Average
a1,a1.purple,14,m,702,25,2.Average
a1,a1.purple,21,m,581,25,2.Average
a1,a1.red,1,m,150,27,2.Average
a1,a1.red,7,m,476,27,2.Average
a1,a1.red,14,m,765,27,2.Average
a1,a1.red,21,m,373,27,2.Average
a1,a1.white,1,m,83,27,2.Average
a1,a1.white,7,m,260,27,2.Average
a1,a1.white,14,m,495,27,2.Average
a1,a1.white,21,m,656,27,2.Average
a1,a1.yellow,1,m,131,19,2.Average
a1,a1.yellow,7,m,230,19,2.Average
a1,a1.yellow,14,m,443,19,2.Average
a10,a10.blue,7,m,384,29,2.Average
a10,a10.blue,14,m,554,29,2.Average
a10,a10.blue,21,m,1137,29,2.Average
a10,a10.blue,28,m,0,29,2.Average
a10,a10.gold,7,m,517,34,3.Long
a10,a10.gold,14,m,553,34,3.Long
a10,a10.gold,21,m,705,34,3.Long
a10,a10.gold,28,m,288,34,3.Long
a10,a10.green,1,m,260,29,2.Average
a10,a10.green,7,m,419,29,2.Average
a10,a10.green,14,m,442,29,2.Average
a10,a10.green,21,m,876,29,2.Average
a10,a10.lightblue,1,m,535,29,2.Average
a10,a10.lightblue,7,m,717,29,2.Average
a10,a10.lightblue,14,m,783,29,2.Average
a10,a10.lightblue,21,m,924,29,2.Average
a10,a10.lightblue,28,m,0,29,2.Average
a10,a10.orange,1,m,470,29,2.Average
a10,a10.orange,7,m,866,29,2.Average
a10,a10.orange,14,m,545,29,2.Average
a10,a10.orange,21,m,757,29,2.Average
a10,a10.orange,28,m,0,29,2.Average
a10,a10.pink,1,m,326,29,2.Average
a10,a10.pink,7,m,325,29,2.Average
a10,a10.pink,14,m,466,29,2.Average
a10,a10.pink,21,m,276,29,2.Average
a10,a10.purple,1,m,509,29,2.Average
a10,a10.purple,7,m,409,29,2.Average
a10,a10.purple,14,m,439,29,2.Average
a10,a10.purple,21,m,749,29,2.Average
a10,a10.purple,28,m,75,29,2.Average
a10,a10.red,1,m,225,27,2.Average
a10,a10.red,7,m,531,27,2.Average
a10,a10.red,14,m,462,27,2.Average
a10,a10.red,21,m,583,27,2.Average
a10,a10.white,7,m,1326,29,2.Average
a10,a10.white,14,m,824,29,2.Average
a10,a10.white,21,m,991,29,2.Average
a10,a10.white,28,m,0,29,2.Average
a10,a10.yellow,7,m,188,22,2.Average
a10,a10.yellow,14,m,798,22,2.Average
a11,a11.blue,1,m,6,7,1.Short
a11,a11.gold,1,f,619,42,2.Average
a11,a11.gold,14,f,1204,42,2.Average
a11,a11.gold,21,f,1902,42,2.Average
a11,a11.gold,28,f,1099,42,2.Average
a11,a11.gold,35,f,968,42,2.Average
a11,a11.green,1,f,304,44,2.Average
a11,a11.green,14,f,1493,44,2.Average
a11,a11.green,21,f,1518,44,2.Average
a11,a11.green,28,f,883,44,2.Average
a11,a11.green,35,f,1603,44,2.Average
a11,a11.green,42,f,502,44,2.Average
a11,a11.lightblue,1,f,480,43,2.Average
a11,a11.lightblue,14,f,1164,43,2.Average
a11,a11.lightblue,21,f,928,43,2.Average
a11,a11.lightblue,28,f,743,43,2.Average
a11,a11.lightblue,35,f,1184,43,2.Average
a11,a11.pink,1,f,109,24,1.Short
a11,a11.pink,14,f,1725,24,1.Short
a11,a11.pink,21,f,1669,24,1.Short
a11,a11.purple,1,f,542,32,2.Average
a11,a11.purple,14,f,1091,32,2.Average
a11,a11.purple,21,f,642,32,2.Average
a11,a11.purple,28,f,1098,32,2.Average
a11,a11.red,1,m,242,28,2.Average
a11,a11.red,14,m,207,28,2.Average
a11,a11.red,21,m,91,28,2.Average
a11,a11.white,1,f,644,49,3.Long
a11,a11.white,14,f,880,49,3.Long
a11,a11.white,21,f,1229,49,3.Long
a11,a11.white,28,f,1680,49,3.Long
a11,a11.white,35,f,2432,49,3.Long
a11,a11.white,42,f,2014,49,3.Long
a11,a11.yellow,1,f,803,32,2.Average
a11,a11.yellow,14,f,1125,32,2.Average
a11,a11.yellow,21,f,2198,32,2.Average
a11,a11.yellow,28,f,1713,32,2.Average
a12,a12.blue,1,m,284,7,1.Short
a12,a12.gold,1,f,498,21,1.Short
a12,a12.gold,7,f,1015,21,1.Short
a12,a12.gold,14,f,1340,21,1.Short
a12,a12.lightblue,1,f,705,35,2.Average
a12,a12.lightblue,7,f,1312,35,2.Average
a12,a12.lightblue,14,f,1521,35,2.Average
a12,a12.lightblue,21,f,2319,35,2.Average
a12,a12.lightblue,28,f,1901,35,2.Average
a12,a12.orange,1,f,427,46,3.Long
a12,a12.orange,7,f,583,46,3.Long
a12,a12.orange,14,f,760,46,3.Long
a12,a12.orange,21,f,2216,46,3.Long
a12,a12.orange,28,f,612,46,3.Long
a12,a12.orange,35,f,1784,46,3.Long
a12,a12.orange,42,f,803,46,3.Long
a12,a12.pink,1,f,787,24,1.Short
a12,a12.pink,7,f,1409,24,1.Short
a12,a12.pink,14,f,2144,24,1.Short
a12,a12.pink,21,f,802,24,1.Short
a12,a12.purple,1,f,427,35,2.Average
a12,a12.purple,7,f,441,35,2.Average
a12,a12.purple,14,f,533,35,2.Average
a12,a12.purple,21,f,2468,35,2.Average
a12,a12.purple,28,f,163,35,2.Average
a12,a12.white,1,m,260,3,1.Short
a12,a12.yellow,1,f,401,53,3.Long
a12,a12.yellow,7,f,1074,53,3.Long
a12,a12.yellow,14,f,1187,53,3.Long
a12,a12.yellow,21,f,1730,53,3.Long
a12,a12.yellow,28,f,930,53,3.Long
a12,a12.yellow,35,f,2088,53,3.Long
a12,a12.yellow,42,f,2439,53,3.Long
a12,a12.yellow,49,f,117,53,3.Long
a13,a13.gold,1,f,41,44,2.Average
a13,a13.gold,7,f,693,44,2.Average
a13,a13.gold,14,f,1586,44,2.Average
a13,a13.gold,21,f,2642,44,2.Average
a13,a13.gold,28,f,1373,44,2.Average
a13,a13.gold,35,f,2131,44,2.Average
a13,a13.gold,42,f,2,44,2.Average
a13,a13.green,7,f,576,60,3.Long
a13,a13.green,14,f,1083,60,3.Long
a13,a13.green,21,f,119,60,3.Long
a13,a13.green,28,f,280,60,3.Long
a13,a13.green,35,f,905,60,3.Long
a13,a13.green,42,f,511,60,3.Long
a13,a13.green,49,f,207,60,3.Long
a13,a13.green,56,f,317,60,3.Long
a13,a13.lightblue,7,f,524,44,2.Average
a13,a13.lightblue,14,f,1200,44,2.Average
a13,a13.lightblue,21,f,2346,44,2.Average
a13,a13.lightblue,28,f,1121,44,2.Average
a13,a13.lightblue,35,f,2105,44,2.Average
a13,a13.lightblue,42,f,266,44,2.Average
a13,a13.orange,7,f,2356,32,2.Average
a13,a13.orange,14,f,2518,32,2.Average
a13,a13.orange,21,f,3374,32,2.Average
a13,a13.orange,28,f,278,32,2.Average
a13,a13.purple,1,m,1121,30,2.Average
a13,a13.purple,7,m,927,30,2.Average
a13,a13.purple,14,m,724,30,2.Average
