ID,age,year_sampling,year_of_birth,sex,HA,hapto,initial_lysis,pre-scan_absorbance,assay_batch_HAHL,assay_batch_hapto,storage_time_HAHL,storage_time_hapto
261,6,2018,2012,2,13.0,,5.0,,2019.0,,1.0,
261,7,2019,2012,2,11.0,0.398064,4.0,0.159,2020.0,2020.0,1.0,1.0
262,3,2017,2014,2,5.0,0.092342,2.0,0.095,2018.0,2018.0,1.0,1.0
262,4,2018,2014,2,10.0,1.903274,6.0,0.283,2018.0,2018.0,0.0,0.0
262,5,2019,2014,2,11.0,0.224464,3.0,0.137,2020.0,2020.0,1.0,1.0
263,10,2008,1998,1,12.0,,2.0,,2017.0,,9.0,
263,11,2009,1998,1,12.0,,1.0,,2017.0,,8.0,
264,6,2018,2012,2,9.0,0.226906,1.0,0.12,2020.0,2020.0,2.0,2.0
264,7,2019,2012,2,,0.0,,0.119,,2020.0,,1.0
265,10,2018,2008,2,10.0,0.226906,2.0,0.117,2020.0,2020.0,2.0,2.0
265,11,2019,2008,2,11.0,1.542686,5.0,0.224,2020.0,2020.0,1.0,1.0
266,10,2013,2003,2,,0.062003,1.0,0.216,2017.0,2018.0,4.0,5.0
266,14,2017,2003,2,12.0,0.050387,1.0,0.121,2017.0,2018.0,0.0,1.0
266,15,2018,2003,2,15.0,4.584696,8.0,0.842,2018.0,2018.0,0.0,0.0
266,16,2019,2003,2,13.0,0.038176,1.0,0.239,2020.0,2020.0,1.0,1.0
267,3,2011,2008,1,13.0,,1.0,,2017.0,,6.0,
267,8,2016,2008,1,6.0,0.0,1.0,0.137,2017.0,2018.0,1.0,2.0
267,9,2017,2008,1,12.0,0.089673,1.0,0.178,2017.0,2018.0,0.0,1.0
267,10,2018,2008,1,14.0,0.136782,1.0,0.108,2018.0,2018.0,0.0,0.0
267,11,2019,2008,1,14.0,1.301101,8.0,0.413,2020.0,2020.0,1.0,1.0
268,6,2014,2008,2,,6.17971,8.0,2.632,2017.0,2018.0,3.0,4.0
268,8,2016,2008,2,8.0,0.027796,3.0,0.11,2017.0,2018.0,1.0,2.0
268,9,2017,2008,2,12.0,0.143979,1.0,0.113,2017.0,2018.0,0.0,1.0
268,10,2018,2008,2,11.0,0.372132,3.0,0.23,2018.0,2018.0,0.0,0.0
268,11,2019,2008,2,6.0,0.367545,1.0,0.263,2020.0,2020.0,1.0,1.0
269,7,2017,2010,1,11.0,,2.0,,2019.0,,2.0,
269,9,2019,2010,1,10.0,0.294656,5.0,0.144,2020.0,2020.0,1.0,1.0
270,7,2008,2001,2,12.0,,5.0,,2017.0,,9.0,
270,8,2009,2001,2,9.0,,4.0,,2017.0,,8.0,
270,11,2012,2001,2,12.0,,1.0,,2017.0,,5.0,
271,10,2008,1998,2,,,7.0,,2017.0,,9.0,
271,12,2010,1998,2,12.0,,8.0,,2017.0,,7.0,
272,10,2009,1999,2,14.0,,5.0,,2017.0,,8.0,
272,15,2014,1999,2,13.0,,7.0,,2017.0,,3.0,
273,7,2013,2006,2,10.0,0.0,1.0,0.303,2017.0,2017.0,4.0,4.0
273,8,2014,2006,2,8.0,0.035575,1.0,0.121,2017.0,2017.0,3.0,3.0
273,10,2016,2006,2,12.0,0.108316,1.0,0.175,2017.0,2017.0,1.0,1.0
273,11,2017,2006,2,14.0,0.3067,2.0,0.151,2017.0,2017.0,0.0,0.0
273,12,2018,2006,2,12.0,0.384377,3.0,0.143,2018.0,2018.0,0.0,0.0
273,13,2019,2006,2,12.0,1.138324,6.0,0.242,2020.0,2020.0,1.0,1.0
274,8,2009,2001,2,10.0,,2.0,,2017.0,,8.0,
275,7,2011,2004,1,12.0,,6.0,,2017.0,,6.0,
275,9,2013,2004,1,6.0,,1.0,,2017.0,,4.0,
276,10,2018,2008,1,8.0,0.597749,5.0,0.317,2020.0,2020.0,2.0,2.0
276,11,2019,2008,1,8.0,0.565657,6.0,0.249,2020.0,2020.0,1.0,1.0
277,6,2019,2013,1,8.0,0.594183,3.0,0.174,2020.0,2020.0,1.0,1.0
278,8,2018,2010,2,12.0,,3.0,,2019.0,,1.0,
279,10,2016,2006,2,10.0,0.022349,1.0,0.128,2017.0,2017.0,1.0,1.0
279,11,2017,2006,2,5.0,0.0,1.0,0.147,2017.0,2017.0,0.0,0.0
279,12,2018,2006,2,12.0,0.553913,7.0,0.174,2018.0,2018.0,0.0,0.0
279,13,2019,2006,2,15.0,1.104646,6.0,0.245,2020.0,2020.0,1.0,1.0
280,14,2013,1999,1,12.0,,1.0,,2017.0,,4.0,
280,19,2018,1999,1,17.0,,7.0,,2018.0,,0.0,
280,20,2019,1999,1,8.0,0.490775,4.0,0.172,2020.0,2020.0,1.0,1.0
281,6,2009,2003,1,12.0,,3.0,,2017.0,,8.0,
281,8,2011,2003,1,12.0,,7.0,,2017.0,,6.0,
282,9,2009,2000,2,9.0,,1.0,,2017.0,,8.0,
283,7,2008,2001,2,,,5.0,,2017.0,,9.0,
283,8,2009,2001,2,14.0,,8.0,,2017.0,,8.0,
283,10,2011,2001,2,10.0,,8.0,,2017.0,,6.0,
283,11,2012,2001,2,12.0,,6.0,,2017.0,,5.0,
284,6,2017,2011,1,5.0,0.0,1.0,0.108,2020.0,2020.0,3.0,3.0
285,5,2018,2013,2,16.0,1.082954,5.0,0.347,2019.0,2020.0,1.0,2.0
285,6,2019,2013,2,10.0,0.537131,3.0,0.248,2020.0,2020.0,1.0,1.0
286,5,2018,2013,2,13.0,,3.0,,2019.0,,1.0,
287,3,2014,2011,1,12.0,,2.0,,2017.0,,3.0,
287,6,2017,2011,1,12.0,,1.0,,2017.0,,0.0,
288,7,2008,2001,2,8.0,,2.0,,2017.0,,9.0,
288,8,2009,2001,2,12.0,,1.0,,2017.0,,8.0,
288,11,2012,2001,2,10.0,,3.0,,2017.0,,5.0,
288,12,2013,2001,2,12.0,,4.0,,2017.0,,4.0,
288,13,2014,2001,2,12.0,,2.0,,2017.0,,3.0,
289,10,2017,2007,2,2.0,0.0,1.0,0.182,2020.0,2020.0,3.0,3.0
290,12,2008,1996,2,12.0,,2.0,,2017.0,,9.0,
291,6,2010,2004,2,10.0,,1.0,,2017.0,,7.0,
291,7,2011,2004,2,12.0,,2.0,,2017.0,,6.0,
291,8,2012,2004,2,8.0,,2.0,,2017.0,,5.0,
291,9,2013,2004,2,12.0,,1.0,,2017.0,,4.0,
292,5,2018,2013,1,,1.747578,,0.405,,2018.0,,0.0
292,6,2019,2013,1,14.0,1.494749,6.0,0.461,2020.0,2020.0,1.0,1.0
293,4,2019,2015,2,14.0,0.694026,5.0,0.192,2020.0,2020.0,1.0,1.0
294,7,2008,2001,2,12.0,,1.0,,2017.0,,9.0,
294,9,2010,2001,2,,,4.0,,2017.0,,7.0,
294,11,2012,2001,2,12.0,0.111622,1.0,0.12,2017.0,2017.0,5.0,5.0
294,13,2014,2001,2,12.0,0.0488,1.0,0.123,2017.0,2017.0,3.0,3.0
294,16,2017,2001,2,12.0,0.604276,3.0,0.202,2017.0,2017.0,0.0,0.0
294,17,2018,2001,2,13.0,1.135492,6.0,0.214,2018.0,2018.0,0.0,0.0
294,18,2019,2001,2,11.0,0.133729,1.0,0.228,2020.0,2020.0,1.0,1.0
295,5,2017,2012,1,13.0,,2.0,,2019.0,,2.0,
296,10,2009,1999,1,9.0,,1.0,,2017.0,,8.0,
296,12,2011,1999,1,18.0,,4.0,,2017.0,,6.0,
297,16,2008,1992,1,12.0,,7.0,,2017.0,,9.0,
297,17,2009,1992,1,12.0,,1.0,,2017.0,,8.0,
297,20,2012,1992,1,12.0,,5.0,,2017.0,,5.0,
298,7,2017,2010,1,5.0,0.187163,1.0,0.124,2018.0,2018.0,1.0,1.0
298,8,2018,2010,1,16.0,1.510335,6.0,0.379,2018.0,2018.0,0.0,0.0
298,9,2019,2010,1,10.0,0.248663,3.0,0.25,2020.0,2020.0,1.0,1.0
299,14,2011,1997,2,12.0,,1.0,,2017.0,,6.0,
300,5,2017,2012,2,11.0,0.042564,1.0,0.179,2018.0,2018.0,1.0,1.0
300,6,2018,2012,2,12.0,1.149015,5.0,0.209,2018.0,2018.0,0.0,0.0
300,7,2019,2012,2,10.0,0.391974,3.0,0.21,2020.0,2020.0,1.0,1.0
301,8,2019,2011,2,11.0,0.811697,5.0,0.201,2020.0,2020.0,1.0,1.0
302,9,2008,1999,2,9.0,,1.0,,2017.0,,9.0,
302,10,2009,1999,2,14.0,,5.0,,2017.0,,8.0,
303,10,2009,1999,1,10.0,0.124615,1.0,0.122,2017.0,2018.0,8.0,9.0
303,17,2016,1999,1,9.0,0.056842,3.0,0.126,2017.0,2018.0,1.0,2.0
303,19,2018,1999,1,13.0,1.394668,6.0,0.328,2018.0,2018.0,0.0,0.0
303,20,2019,1999,1,8.0,0.514117,3.0,0.29,2020.0,2020.0,1.0,1.0
304,5,2008,2003,1,12.0,,7.0,,2017.0,,9.0,
304,6,2009,2003,1,12.0,,8.0,,2017.0,,8.0,
305,5,2016,2011,1,13.0,0.028962,2.0,0.125,2017.0,2017.0,1.0,1.0
305,6,2017,2011,1,15.0,0.154605,1.0,0.138,2017.0,2017.0,0.0,0.0
306,3,2009,2006,1,12.0,,3.0,,2018.0,,9.0,
306,12,2018,2006,1,10.0,,5.0,,2018.0,,0.0,
307,14,2012,1998,1,12.0,,5.0,,2017.0,,5.0,
307,15,2013,1998,1,12.0,,2.0,,2017.0,,4.0,
307,16,2014,1998,1,12.0,,5.0,,2017.0,,3.0,
307,19,2017,1998,1,12.0,,1.0,,2017.0,,0.0,
308,9,2008,1999,1,12.0,,6.0,,2017.0,,9.0,
308,10,2009,1999,1,12.0,,3.0,,2017.0,,8.0,
309,4,2011,2007,1,11.0,,8.0,,2018.0,,7.0,
309,11,2018,2007,1,12.0,,2.0,,2018.0,,0.0,
310,6,2009,2003,2,12.0,0.460263,5.0,0.18,2017.0,2018.0,8.0,9.0
310,11,2014,2003,2,,,1.0,,2017.0,,3.0,
310,13,2016,2003,2,,,6.0,,2017.0,,1.0,
310,14,2017,2003,2,12.0,0.328358,2.0,0.278,2017.0,2018.0,0.0,1.0
310,15,2018,2003,2,9.0,0.074792,1.0,0.145,2018.0,2018.0,0.0,0.0
310,16,2019,2003,2,9.0,0.161647,4.0,0.135,2020.0,2020.0,1.0,1.0
311,4,2018,2014,1,11.0,0.554481,5.0,0.198,2020.0,2018.0,2.0,0.0
311,5,2019,2014,1,10.0,0.29918,1.0,0.239,2020.0,2020.0,1.0,1.0
312,3,2016,2013,1,10.0,,3.0,,2018.0,,2.0,
312,5,2018,2013,1,13.0,,5.0,,2018.0,,0.0,
313,9,2008,1999,2,12.0,,1.0,,2017.0,,9.0,
313,10,2009,1999,2,12.0,,7.0,,2017.0,,8.0,
313,11,2010,1999,2,14.0,,8.0,,2017.0,,7.0,
313,13,2012,1999,2,14.0,,8.0,,2017.0,,5.0,
313,14,2013,1999,2,13.0,,5.0,,2017.0,,4.0,
313,15,2014,1999,2,12.0,,1.0,,2017.0,,3.0,
313,17,2016,1999,2,6.0,,1.0,,2017.0,,1.0,
314,7,2017,2010,2,12.0,0.237265,1.0,0.113,2017.0,2017.0,0.0,0.0
314,8,2018,2010,2,10.0,1.110368,7.0,0.304,2018.0,2018.0,0.0,0.0
314,9,2019,2010,2,10.0,0.273321,3.0,0.146,2020.0,2020.0,1.0,1.0
315,3,2017,2014,2,,0.163343,,0.162,,2018.0,,1.0
316,11,2012,2001,2,10.0,,1.0,,2017.0,,5.0,
316,12,2013,2001,2,10.0,,5.0,,2017.0,,4.0,
317,7,2018,2011,1,,1.686181,,0.32,,2018.0,,0.0
318,4,2017,2013,2,9.0,0.0,1.0,0.1,2018.0,2018.0,1.0,1.0
318,5,2018,2013,2,10.0,0.187163,2.0,0.174,2018.0,2018.0,0.0,0.0
319,5,2016,2011,1,12.0,0.657178,7.0,0.25,2017.0,2017.0,1.0,1.0
319,6,2017,2011,1,12.0,0.293474,3.0,0.259,2017.0,2017.0,0.0,0.0
319,7,2018,2011,1,13.0,1.117876,5.0,0.205,2018.0,2018.0,0.0,0.0
319,8,2019,2011,1,15.0,1.121485,3.0,0.31,2020.0,2020.0,1.0,1.0
320,3,2017,2014,1,8.0,0.102103,2.0,0.113,2020.0,2020.0,3.0,3.0
321,9,2017,2008,2,13.0,0.263281,6.0,0.237,2018.0,2018.0,1.0,1.0
321,10,2018,2008,2,11.0,0.100666,2.0,0.332,2018.0,2018.0,0.0,0.0
321,11,2019,2008,2,13.0,0.111145,3.0,0.279,2020.0,2020.0,1.0,1.0
322,3,2010,2007,2,10.0,,5.0,,2017.0,,7.0,
322,5,2012,2007,2,12.0,0.111982,1.0,0.119,2017.0,2017.0,5.0,5.0
322,9,2016,2007,2,9.0,,1.0,,2017.0,,1.0,
322,10,2017,2007,2,12.0,0.053296,2.0,0.187,2017.0,2017.0,0.0,0.0
322,11,2018,2007,2,13.0,2.36079,5.0,0.437,2018.0,2018.0,0.0,0.0
322,12,2019,2007,2,13.0,0.507137,3.0,0.174,2020.0,2020.0,1.0,1.0
323,8,2008,2000,1,12.0,0.0,1.0,0.353,2017.0,2018.0,9.0,10.0
323,10,2010,2000,1,12.0,4.052109,3.0,0.86,2017.0,2018.0,7.0,8.0
323,14,2014,2000,1,,0.062607,,0.12,,2018.0,,4.0
323,18,2018,2000,1,11.0,0.533153,5.0,0.181,2018.0,2018.0,0.0,0.0
323,19,2019,2000,1,10.0,0.043789,1.0,0.119,2020.0,2020.0,1.0,1.0
324,8,2018,2010,1,13.0,,5.0,,2019.0,,1.0,
325,9,2009,2000,1,13.0,,5.0,,2017.0,,8.0,
325,17,2017,2000,1,12.0,,1.0,,2017.0,,0.0,
326,9,2008,1999,1,12.0,,6.0,,2017.0,,9.0,
326,10,2009,1999,1,12.0,,3.0,,2017.0,,8.0,
326,13,2012,1999,1,13.0,,3.0,,2017.0,,5.0,
326,14,2013,1999,1,10.0,,1.0,,2017.0,,4.0,
