id,year_of_sampling,capture_date,sex,age,mass,year_of_birth,ALO,lymphocyte_count,neutrophil_count,monocyte_count,eosinophil_count,leukocyte_concentration,included_in_survival_analysis,log_leukocyte_concentration
39,2011,156,m,5,4300,2006,8,31.0,60.0,6.0,3.0,,yes,
39,2012,140,m,6,4150,2006,8,20.0,61.0,10.0,9.0,,yes,
39,2013,149,m,7,3580,2006,8,15.0,85.0,0.0,0.0,,yes,
39,2014,136,m,8,3950,2006,8,20.0,75.0,3.0,2.0,,yes,
40,2013,167,f,3,3690,2010,5,30.0,64.0,2.0,0.0,,yes,
40,2014,143,f,4,3600,2010,5,31.0,58.0,7.0,4.0,26418000.0,yes,17.089556153965948
40,2015,155,f,5,3925,2010,5,31.0,56.0,6.0,7.0,23510998.8832875,yes,16.97297890720566
41,2014,140,f,4,3925,2010,5,47.0,41.0,8.0,4.0,26520000.0,yes,17.093409723281937
41,2015,142,f,5,3500,2010,5,31.0,63.0,4.0,2.0,22326667.2581214,yes,16.921292363153178
41,2015,161,f,5,3525,2010,5,,,,,45134997.8562026,yes,17.62516850921694
42,2013,148,m,3,3180,2010,5,74.0,23.0,1.0,2.0,17034000.0,yes,16.650721904683163
42,2014,137,m,4,3425,2010,5,50.0,48.0,2.0,0.0,37128000.0,yes,17.42988195990315
42,2015,133,m,5,3500,2010,5,63.0,32.0,3.0,2.0,24071998.8566414,yes,16.99655984979457
43,2012,143,f,4,2875,2008,7,22.0,69.0,5.0,4.0,,yes,
43,2013,149,f,5,3220,2008,7,51.0,45.0,3.0,0.0,25296000.0,yes,17.04615683843139
43,2014,137,f,6,3600,2008,7,37.0,58.0,4.0,1.0,40392000.0,yes,17.514142303520888
43,2015,164,f,7,3525,2008,7,25.0,73.0,0.0,2.0,27896998.6749637,yes,17.144029666630995
44,2014,145,f,3,3875,2011,4,,,,,25704000.0,yes,17.06215717977783
44,2015,138,f,4,3700,2011,4,,,,,18926667.1680521,yes,16.756082446831943
