ID,Age_class,site,First_captured,Year_birth,Cohort_birth,sex,cohort_sexual_maturity,AFR,Last_captured,lifespan,weaned_juv,age,nb_juv,season
J026,A,MV1,25/05/2014,2013,Summer ,F,Early sexual maturity,7,04/08/2017,47.0,1,22,6,Pre-mast
J026,A,MV1,25/05/2014,2013,Summer ,F,Early sexual maturity,7,04/08/2017,47.0,1,30,2,Post-mast
J026,A,MV1,25/05/2014,2013,Summer ,F,Early sexual maturity,7,04/08/2017,47.0,0,45,0,Pre-mast
J031,A,MV1,25/05/2014,2013,Summer ,F,Early sexual maturity,7,08/06/2014,8.0,1,7,4,Post-mast
J032,A,MV4,28/05/2014,2013,Summer ,M,Early sexual maturity,7,12/06/2019,69.0,0,7,0,Post-mast
J032,A,MV4,28/05/2014,2013,Summer ,M,Early sexual maturity,7,12/06/2019,69.0,1,22,2,Pre-mast
J032,A,MV4,28/05/2014,2013,Summer ,M,Early sexual maturity,7,12/06/2019,69.0,1,30,3,Post-mast
J032,A,MV4,28/05/2014,2013,Summer ,M,Early sexual maturity,7,12/06/2019,69.0,0,45,0,Pre-mast
J032,A,MV4,28/05/2014,2013,Summer ,M,Early sexual maturity,7,12/06/2019,69.0,0,52,0,Post-mast
J036,A,MV4,28/05/2014,2013,Summer ,M,Early sexual maturity,7,01/07/2014,9.0,1,7,1,Post-mast
J037,A,MV4,28/05/2014,2013,Summer ,M,Early sexual maturity,7,05/07/2015,21.0,0,7,0,Post-mast
J037,A,MV4,28/05/2014,2013,Summer ,M,Early sexual maturity,7,05/07/2015,21.0,1,22,1,Pre-mast
J041,A,MV4,29/05/2014,2013,Summer ,M,Early sexual maturity,7,03/06/2016,33.0,0,7,0,Post-mast
J041,A,MV4,29/05/2014,2013,Summer ,M,Early sexual maturity,7,03/06/2016,33.0,1,22,2,Pre-mast
J041,A,MV4,29/05/2014,2013,Summer ,M,Early sexual maturity,7,03/06/2016,33.0,0,30,0,Post-mast
J043,A,MV1,30/05/2014,2013,Summer ,F,Late sexual maturity,22,29/07/2017,47.0,0,7,0,Post-mast
J043,A,MV1,30/05/2014,2013,Summer ,F,Late sexual maturity,22,29/07/2017,47.0,1,22,4,Pre-mast
