ID,Age_class,site,First_captured,Year_birth,Cohort_birth,sex,cohort_sexual_maturity,AFR,Last_captured,lifespan,weaned_juv,age,nb_juv,season
C159,A,Site 1,26/05/2007,2006,Summer,F,Early sexual maturity,7,21/06/2010,45.0,1,22,2,Pre-mast
C159,A,Site 1,26/05/2007,2006,Summer,F,Early sexual maturity,7,21/06/2010,45.0,0,30,0,Post-mast
C159,A,Site 1,26/05/2007,2006,Summer,F,Early sexual maturity,7,21/06/2010,45.0,0,33,0,Pre-mast
C162,J,Site 1,29/06/2007,2007,Spring,F,Intermediate sexual maturity,15,08/10/2009,28.0,1,15,3,Pre-mast
C162,J,Site 1,29/06/2007,2007,Spring,F,Intermediate sexual maturity,15,08/10/2009,28.0,1,22,2,Post-mast
C162,J,Site 1,29/06/2007,2007,Spring,F,Intermediate sexual maturity,15,08/10/2009,28.0,1,25,2,Pre-mast
C175,J,Site 1,24/05/2007,2007,Spring,F,Intermediate sexual maturity,15,14/05/2010,36.0,1,15,3,Pre-mast
C175,J,Site 1,24/05/2007,2007,Spring,F,Intermediate sexual maturity,15,14/05/2010,36.0,1,22,3,Post-mast
C175,J,Site 1,24/05/2007,2007,Spring,F,Intermediate sexual maturity,15,14/05/2010,36.0,0,37,0,Pre-mast
D001,A,Site 1,17/05/2008,2007,Spring,F,Intermediate sexual maturity,15,07/10/2008,17.0,1,15,1,Pre-mast
D002,A,Site 1,18/05/2008,2007,Spring,F,Intermediate sexual maturity,15,29/06/2010,38.0,0,15,0,Pre-mast
D002,A,Site 1,18/05/2008,2007,Spring,F,Intermediate sexual maturity,15,29/06/2010,38.0,0,22,0,Post-mast
D002,A,Site 1,18/05/2008,2007,Spring,F,Intermediate sexual maturity,15,29/06/2010,38.0,1,25,1,Pre-mast
D003,A,Site 1,24/05/2008,2007,Spring,F,Intermediate sexual maturity,15,17/09/2008,16.0,1,15,5,Pre-mast
D008,A,Site 1,02/06/2008,2007,Spring,M,Intermediate sexual maturity,15,10/08/2008,15.0,1,15,1,Pre-mast
D009,A,Site 1,03/06/2008,2007,Spring,F,Intermediate sexual maturity,15,08/10/2008,17.0,1,15,2,Pre-mast
D010,A,Site 1,05/06/2008,2007,Spring,M,Intermediate sexual maturity,15,15/05/2009,24.0,1,15,5,Pre-mast
D021,A,Site 1,29/06/2008,2007,Spring,F,Intermediate sexual maturity,15,03/09/2008,15.0,1,15,2,Pre-mast
D023,A,Site 1,02/07/2008,2007,Spring,M,Intermediate sexual maturity,15,06/10/2008,16.0,1,15,4,Pre-mast
D025,A,Site 1,30/07/2008,2007,Spring,F,Intermediate sexual maturity,15,22/09/2008,16.0,1,15,1,Pre-mast
D026,A,Site 1,15/08/2008,2007,Spring,M,Intermediate sexual maturity,15,15/08/2008,,1,15,1,Pre-mast
D027,A,Site 1,15/08/2008,2007,Spring,M,Intermediate sexual maturity,15,25/06/2010,37.0,1,15,1,Pre-mast
D027,A,Site 1,15/08/2008,2007,Spring,M,Intermediate sexual maturity,15,25/06/2010,37.0,0,22,0,Post-mast
D027,A,Site 1,15/08/2008,2007,Spring,M,Intermediate sexual maturity,15,25/06/2010,37.0,0,37,0,Pre-mast
D037,J,Site 1,30/08/2008,2008,Summer,M,Early sexual maturity,7,19/04/2009,,1,7,1,Post-mast
D037,J,Site 1,30/08/2008,2008,Summer,M,Early sexual maturity,10,19/04/2009,,1,10,1,Pre-mast
D114,J,Site 1,12/09/2008,2008,Summer,M,Early sexual maturity,7,26/06/2010,22.0,0,7,0,Post-mast
D114,J,Site 1,12/09/2008,2008,Summer,M,Early sexual maturity,10,26/06/2010,22.0,1,10,2,Pre-mast
D165,J,Site 1,22/09/2008,2008,Summer,M,Early sexual maturity,7,26/06/2010,21.0,0,7,0,Post-mast
D165,J,Site 1,22/09/2008,2008,Summer,M,Early sexual maturity,10,26/06/2010,21.0,1,10,4,Pre-mast
D176,J,Site 1,30/09/2008,2008,Summer,M,Early sexual maturity,7,17/10/2008,,1,7,1,Pre-mast
F033,A,MV5,08/08/2010,2009,Summer,M,Early sexual maturity,7,25/05/2016,81.0,0,52,0,Pre-mast
F033,A,MV5,08/08/2010,2009,Summer,M,Early sexual maturity,7,25/05/2016,81.0,1,67,4,Post-mast
F033,A,MV5,08/08/2010,2009,Summer,M,Early sexual maturity,7,25/05/2016,81.0,0,74,0,Pre-mast
F033,A,MV5,08/08/2010,2009,Summer,M,Early sexual maturity,7,25/05/2016,81.0,0,89,0,Post-mast
G014,A,MV1,12/05/2012,2009,Summer ,M,Early sexual maturity,7,17/06/2012,33.0,1,30,1,Post-mast
H002,A,MV1,14/05/2012,2011,Summer ,F,Early sexual maturity,7,02/09/2015,48.0,1,7,1,Post-mast
H002,A,MV1,14/05/2012,2011,Summer ,F,Early sexual maturity,7,02/09/2015,48.0,1,22,1,Pre-mast
H002,A,MV1,14/05/2012,2011,Summer ,F,Early sexual maturity,7,02/09/2015,48.0,1,30,2,Post-mast
H002,A,MV1,14/05/2012,2011,Summer ,F,Early sexual maturity,7,02/09/2015,48.0,1,45,4,Pre-mast
H007,A,MV1,24/05/2012,2011,Summer ,F,Early sexual maturity,7,17/09/2013,24.0,1,7,2,Post-mast
H007,A,MV1,24/05/2012,2011,Summer ,F,Early sexual maturity,7,17/09/2013,24.0,1,22,4,Pre-mast
H042,A,MV1,07/06/2012,2011,Summer ,M,Early sexual maturity,7,14/07/2014,34.0,1,7,1,Post-mast
H042,A,MV1,07/06/2012,2011,Summer ,M,Early sexual maturity,7,14/07/2014,34.0,1,22,1,Pre-mast
H042,A,MV1,07/06/2012,2011,Summer ,M,Early sexual maturity,7,14/07/2014,34.0,1,30,4,Post-mast
H045,A,MV1,07/06/2012,2011,Summer ,M,Early sexual maturity,7,28/08/2013,23.0,1,7,2,Post-mast
H045,A,MV1,07/06/2012,2011,Summer ,M,Early sexual maturity,7,28/08/2013,23.0,1,22,4,Pre-mast
H058,J,MV5,18/06/2012,2012,Spring,F,Intermediate sexual maturity,15,30/06/2016,49.0,0,15,0,Pre-mast
H058,J,MV5,18/06/2012,2012,Spring,F,Intermediate sexual maturity,15,30/06/2016,49.0,1,22,4,Post-mast
H058,J,MV5,18/06/2012,2012,Spring,F,Intermediate sexual maturity,15,30/06/2016,49.0,0,30,0,Pre-mast
