Obs_num,Rep,F1_ID,F0_ID,Paternal_age,Paternal_sperm_age,Treatment,Sex,F1_Age,F2_Count,LS,Censored,Mean_age,Delta_age,ALR,Mean_age2,Age2
1120,R1,D3.R1.OO.59,R1.OO.59,O,O,OO,Female,18,29,22,1,11,7,18,121,324
626,R2,D3.R2.OO.54,R2.OO.54,O,O,OO,Female,4,0,22,1,11,-7,18,121,16
1334,R2,D3.R2.OO.54,R2.OO.54,O,O,OO,Female,18,0,22,1,11,7,18,121,324
3469,R4,D3.R4.YY.19,R4.YY.19,Y,Y,YY,Female,4,54,22,1,11,-7,18,121,16
3892,R4,D3.R4.YY.19,R4.YY.19,Y,Y,YY,Female,18,0,22,1,11,7,18,121,324
3406,R4,D1.R4.YY.26,R4.YY.26,Y,Y,YY,Female,4,67,23,1,11,-7,18,121,16
3850,R4,D1.R4.YY.26,R4.YY.26,Y,Y,YY,Female,18,0,23,1,11,7,18,121,324
3414,R4,D3.R4.OY.10,R4.OY.10,O,Y,OY,Female,4,26,23,1,11,-7,18,121,16
3827,R4,D3.R4.OY.10,R4.OY.10,O,Y,OY,Female,18,0,23,1,11,7,18,121,324
35,R1,D1.R1.OY.25,R1.OY.25,O,Y,OY,Female,4,49,24,1,11,-7,18,121,16
1027,R1,D1.R1.OY.25,R1.OY.25,O,Y,OY,Female,18,14,24,1,11,7,18,121,324
162,R1,D1.R1.YY.6,R1.YY.6,Y,Y,YY,Female,4,39,24,1,11,-7,18,121,16
1119,R1,D1.R1.YY.6,R1.YY.6,Y,Y,YY,Female,18,0,24,1,11,7,18,121,324
615,R2,D1.R2.OO.73,R2.OO.73,O,O,OO,Female,4,59,24,1,11,-7,18,121,16
1461,R2,D1.R2.OO.73,R2.OO.73,O,O,OO,Female,18,57,24,1,11,7,18,121,324
614,R2,D1.R2.OO.75,R2.OO.75,O,O,OO,Female,4,67,24,1,11,-7,18,121,16
1462,R2,D1.R2.OO.75,R2.OO.75,O,O,OO,Female,18,69,24,1,11,7,18,121,324
555,R2,D1.R2.OY.16,R2.OY.16,O,Y,OY,Female,4,78,24,1,11,-7,18,121,16
1531,R2,D1.R2.OY.16,R2.OY.16,O,Y,OY,Female,18,68,24,1,11,7,18,121,324
473,R2,D1.R2.OY.28,R2.OY.28,O,Y,OY,Female,4,72,24,1,11,-7,18,121,16
1409,R2,D1.R2.OY.28,R2.OY.28,O,Y,OY,Female,18,52,24,1,11,7,18,121,324
588,R2,D1.R2.YO.3,R2.YO.3,Y,O,YO,Female,4,68,24,1,11,-7,18,121,16
1450,R2,D1.R2.YO.3,R2.YO.3,Y,O,YO,Female,18,69,24,1,11,7,18,121,324
610,R2,D1.R2.YY.22,R2.YY.22,Y,Y,YY,Female,4,98,24,1,11,-7,18,121,16
1460,R2,D1.R2.YY.22,R2.YY.22,Y,Y,YY,Female,18,78,24,1,11,7,18,121,324
179,R1,D2.R1.OO.16,R1.OO.16,O,O,OO,Female,4,89,24,1,11,-7,18,121,16
