Block,ID,Family,DevT,AdultT,Overall_treatment,Sex,Adult_age,Daily_Eggs,Adult_lifespan,individual
A,AP15,AP,h,h,HH,f,1,0,2,A_AP_AP15
A,AP15,AP,h,h,HH,f,2,0,2,A_AP_AP15
B,BI28,BI,h,h,HH,f,1,13,2,B_BI_BI28
B,BI28,BI,h,h,HH,f,2,1,2,B_BI_BI28
B,BN22,BN,h,h,HH,f,1,0,2,B_BN_BN22
C,CW11,CW,h,h,HH,f,1,2,2,C_CW_CW11
C,CW11,CW,h,h,HH,f,2,0,2,C_CW_CW11
A,AB15,AB,a,h,AH,f,1,37,3,A_AB_AB15
A,AB15,AB,a,h,AH,f,2,8,3,A_AB_AB15
A,AB15,AB,a,h,AH,f,3,0,3,A_AB_AB15
A,AF10,AF,h,h,HH,f,1,31,3,A_AF_AF10
A,AF10,AF,h,h,HH,f,2,2,3,A_AF_AF10
A,AF10,AF,h,h,HH,f,3,0,3,A_AF_AF10
A,AL16,AL,h,h,HH,f,1,40,3,A_AL_AL16
A,AL16,AL,h,h,HH,f,2,0,3,A_AL_AL16
A,AQ10,AQ,a,h,AH,f,1,20,3,A_AQ_AQ10
A,AQ10,AQ,a,h,AH,f,2,7,3,A_AQ_AQ10
A,AQ10,AQ,a,h,AH,f,3,0,3,A_AQ_AQ10
A,AQ16,AQ,h,h,HH,f,1,1,3,A_AQ_AQ16
A,AQ16,AQ,h,h,HH,f,2,0,3,A_AQ_AQ16
A,AQ16,AQ,h,h,HH,f,3,0,3,A_AQ_AQ16
B,BF16,BF,h,h,HH,f,1,31,3,B_BF_BF16
B,BF16,BF,h,h,HH,f,2,11,3,B_BF_BF16
B,BF16,BF,h,h,HH,f,3,1,3,B_BF_BF16
B,BH16,BH,h,h,HH,f,1,20,3,B_BH_BH16
B,BH16,BH,h,h,HH,f,2,1,3,B_BH_BH16
B,BH16,BH,h,h,HH,f,3,0,3,B_BH_BH16
B,BN17,BN,h,h,HH,f,1,27,3,B_BN_BN17
B,BN17,BN,h,h,HH,f,2,6,3,B_BN_BN17
B,BN17,BN,h,h,HH,f,3,0,3,B_BN_BN17
B,BW8,BW,h,h,HH,f,1,40,3,B_BW_BW8
B,BW8,BW,h,h,HH,f,2,14,3,B_BW_BW8
B,BW8,BW,h,h,HH,f,3,4,3,B_BW_BW8
B,BX17,BX,h,a,HA,f,1,0,3,B_BX_BX17
B,BX17,BX,h,a,HA,f,2,0,3,B_BX_BX17
B,BX17,BX,h,a,HA,f,3,0,3,B_BX_BX17
B,BZ29,BZ,h,h,HH,f,1,1,3,B_BZ_BZ29
B,BZ29,BZ,h,h,HH,f,2,0,3,B_BZ_BZ29
B,BZ29,BZ,h,h,HH,f,3,1,3,B_BZ_BZ29
C,CF17,CF,h,h,HH,f,1,0,3,C_CF_CF17
C,CF17,CF,h,h,HH,f,2,0,3,C_CF_CF17
C,CF17,CF,h,h,HH,f,3,0,3,C_CF_CF17
C,CX18,CX,a,h,AH,f,1,6,3,C_CX_CX18
C,CX18,CX,a,h,AH,f,2,0,3,C_CX_CX18
A,AA15,AA,a,h,AH,f,1,23,4,A_AA_AA15
A,AA15,AA,a,h,AH,f,2,24,4,A_AA_AA15
A,AA15,AA,a,h,AH,f,3,16,4,A_AA_AA15
A,AA15,AA,a,h,AH,f,4,2,4,A_AA_AA15
A,AB20,AB,a,h,AH,f,1,32,4,A_AB_AB20
A,AB20,AB,a,h,AH,f,2,25,4,A_AB_AB20
A,AB20,AB,a,h,AH,f,3,11,4,A_AB_AB20
A,AB20,AB,a,h,AH,f,4,0,4,A_AB_AB20
A,AH8,AH,a,h,AH,f,1,7,4,A_AH_AH8
A,AH8,AH,a,h,AH,f,2,2,4,A_AH_AH8
A,AH8,AH,a,h,AH,f,3,0,4,A_AH_AH8
A,AH8,AH,a,h,AH,f,4,0,4,A_AH_AH8
A,AJ5,AJ,h,h,HH,f,1,22,4,A_AJ_AJ5
A,AJ5,AJ,h,h,HH,f,2,12,4,A_AJ_AJ5
A,AJ5,AJ,h,h,HH,f,3,5,4,A_AJ_AJ5
A,AJ5,AJ,h,h,HH,f,4,1,4,A_AJ_AJ5
A,AK10,AK,a,h,AH,f,1,7,4,A_AK_AK10
A,AK10,AK,a,h,AH,f,2,12,4,A_AK_AK10
A,AK10,AK,a,h,AH,f,3,7,4,A_AK_AK10
A,AK10,AK,a,h,AH,f,4,0,4,A_AK_AK10
A,AK11,AK,h,h,HH,f,1,24,4,A_AK_AK11
A,AK11,AK,h,h,HH,f,2,13,4,A_AK_AK11
A,AK11,AK,h,h,HH,f,3,1,4,A_AK_AK11
A,AK11,AK,h,h,HH,f,4,0,4,A_AK_AK11
A,AK3,AK,a,h,AH,f,1,28,4,A_AK_AK3
A,AK3,AK,a,h,AH,f,2,21,4,A_AK_AK3
A,AK3,AK,a,h,AH,f,3,13,4,A_AK_AK3
A,AK3,AK,a,h,AH,f,4,1,4,A_AK_AK3
A,AO14,AO,a,h,AH,f,1,28,4,A_AO_AO14
A,AO14,AO,a,h,AH,f,2,19,4,A_AO_AO14
A,AO14,AO,a,h,AH,f,3,8,4,A_AO_AO14
A,AO14,AO,a,h,AH,f,4,1,4,A_AO_AO14
A,AP9,AP,a,h,AH,f,1,27,4,A_AP_AP9
A,AP9,AP,a,h,AH,f,2,17,4,A_AP_AP9
A,AP9,AP,a,h,AH,f,3,5,4,A_AP_AP9
A,AP9,AP,a,h,AH,f,4,0,4,A_AP_AP9
A,AU1,AU,h,h,HH,f,1,23,4,A_AU_AU1
A,AU1,AU,h,h,HH,f,2,4,4,A_AU_AU1
A,AU1,AU,h,h,HH,f,3,0,4,A_AU_AU1
A,AU1,AU,h,h,HH,f,4,0,4,A_AU_AU1
A,AU17,AU,a,h,AH,f,1,42,4,A_AU_AU17
A,AU17,AU,a,h,AH,f,2,20,4,A_AU_AU17
A,AU17,AU,a,h,AH,f,3,6,4,A_AU_AU17
A,AU17,AU,a,h,AH,f,4,0,4,A_AU_AU17
A,AU7,AU,a,h,AH,f,1,47,4,A_AU_AU7
A,AU7,AU,a,h,AH,f,2,26,4,A_AU_AU7
A,AU7,AU,a,h,AH,f,3,5,4,A_AU_AU7
A,AU7,AU,a,h,AH,f,4,0,4,A_AU_AU7
A,AV1,AV,a,h,AH,f,1,37,4,A_AV_AV1
A,AV1,AV,a,h,AH,f,2,19,4,A_AV_AV1
A,AV1,AV,a,h,AH,f,3,4,4,A_AV_AV1
A,AV1,AV,a,h,AH,f,4,0,4,A_AV_AV1
A,AV9,AV,a,h,AH,f,1,36,4,A_AV_AV9
A,AV9,AV,a,h,AH,f,2,19,4,A_AV_AV9
A,AV9,AV,a,h,AH,f,3,15,4,A_AV_AV9
A,AV9,AV,a,h,AH,f,4,2,4,A_AV_AV9
A,AW4,AW,a,h,AH,f,1,38,4,A_AW_AW4
A,AW4,AW,a,h,AH,f,2,21,4,A_AW_AW4
A,AW4,AW,a,h,AH,f,3,13,4,A_AW_AW4
A,AW4,AW,a,h,AH,f,4,2,4,A_AW_AW4
A,AX12,AX,a,h,AH,f,1,39,4,A_AX_AX12
A,AX12,AX,a,h,AH,f,2,28,4,A_AX_AX12
A,AX12,AX,a,h,AH,f,3,11,4,A_AX_AX12
A,AX12,AX,a,h,AH,f,4,1,4,A_AX_AX12
A,AZ11,AZ,a,h,AH,f,1,40,4,A_AZ_AZ11
A,AZ11,AZ,a,h,AH,f,2,20,4,A_AZ_AZ11
A,AZ11,AZ,a,h,AH,f,3,11,4,A_AZ_AZ11
A,AZ11,AZ,a,h,AH,f,4,0,4,A_AZ_AZ11
A,AZ16,AZ,h,h,HH,f,1,34,4,A_AZ_AZ16
A,AZ16,AZ,h,h,HH,f,2,10,4,A_AZ_AZ16
A,AZ16,AZ,h,h,HH,f,3,8,4,A_AZ_AZ16
A,AZ16,AZ,h,h,HH,f,4,0,4,A_AZ_AZ16
A,AZ6,AZ,a,h,AH,f,1,29,4,A_AZ_AZ6
A,AZ6,AZ,a,h,AH,f,2,0,4,A_AZ_AZ6
A,AZ6,AZ,a,h,AH,f,3,18,4,A_AZ_AZ6
A,AZ6,AZ,a,h,AH,f,4,2,4,A_AZ_AZ6
B,B?1,Btr,h,h,HH,f,1,18,4,B_Btr_B?1
B,B?1,Btr,h,h,HH,f,2,0,4,B_Btr_B?1
B,B?1,Btr,h,h,HH,f,3,1,4,B_Btr_B?1
B,B?1,Btr,h,h,HH,f,4,0,4,B_Btr_B?1
B,B?16,Btr,h,h,HH,f,1,37,4,B_Btr_B?16
B,B?16,Btr,h,h,HH,f,2,15,4,B_Btr_B?16
B,B?16,Btr,h,h,HH,f,3,6,4,B_Btr_B?16
B,B?16,Btr,h,h,HH,f,4,0,4,B_Btr_B?16
B,B?28,Btr,h,h,HH,f,1,37,4,B_Btr_B?28
B,B?28,Btr,h,h,HH,f,2,20,4,B_Btr_B?28
B,B?28,Btr,h,h,HH,f,3,10,4,B_Btr_B?28
B,B?28,Btr,h,h,HH,f,4,1,4,B_Btr_B?28
B,B?1,Bpi,h,h,HH,f,1,0,4,B_Bpi_B?1
B,B?1,Bpi,h,h,HH,f,2,0,4,B_Bpi_B?1
B,B?1,Bpi,h,h,HH,f,3,0,4,B_Bpi_B?1
B,B?1,Bpi,h,h,HH,f,4,0,4,B_Bpi_B?1
B,B?2,Bpi,h,h,HH,f,1,42,4,B_Bpi_B?2
B,B?2,Bpi,h,h,HH,f,2,16,4,B_Bpi_B?2
B,B?2,Bpi,h,h,HH,f,3,6,4,B_Bpi_B?2
B,B?2,Bpi,h,h,HH,f,4,0,4,B_Bpi_B?2
B,B?29,Bpi,h,h,HH,f,1,27,4,B_Bpi_B?29
B,B?29,Bpi,h,h,HH,f,2,13,4,B_Bpi_B?29
B,B?29,Bpi,h,h,HH,f,3,4,4,B_Bpi_B?29
B,B?29,Bpi,h,h,HH,f,4,0,4,B_Bpi_B?29
B,B©20,Bbox,h,h,HH,f,1,0,4,B_Bbox_B©20
B,B©20,Bbox,h,h,HH,f,2,0,4,B_Bbox_B©20
B,B©20,Bbox,h,h,HH,f,3,0,4,B_Bbox_B©20
B,B©20,Bbox,h,h,HH,f,4,0,4,B_Bbox_B©20
B,BB2,BB,h,h,HH,f,1,25,4,B_BB_BB2
B,BB2,BB,h,h,HH,f,2,14,4,B_BB_BB2
B,BB2,BB,h,h,HH,f,3,5,4,B_BB_BB2
B,BB2,BB,h,h,HH,f,4,1,4,B_BB_BB2
B,BB29,BB,h,h,HH,f,1,27,4,B_BB_BB29
B,BB29,BB,h,h,HH,f,2,10,4,B_BB_BB29
B,BB29,BB,h,h,HH,f,3,2,4,B_BB_BB29
B,BB29,BB,h,h,HH,f,4,0,4,B_BB_BB29
B,BC12,BC,a,h,AH,f,1,28,4,B_BC_BC12
B,BC12,BC,a,h,AH,f,2,19,4,B_BC_BC12
B,BC12,BC,a,h,AH,f,3,2,4,B_BC_BC12
B,BC12,BC,a,h,AH,f,4,0,4,B_BC_BC12
B,BE29,BE,h,h,HH,f,1,49,4,B_BE_BE29
B,BE29,BE,h,h,HH,f,2,17,4,B_BE_BE29
B,BE29,BE,h,h,HH,f,3,11,4,B_BE_BE29
B,BE29,BE,h,h,HH,f,4,0,4,B_BE_BE29
B,BJ6,BJ,a,h,AH,f,1,29,4,B_BJ_BJ6
B,BJ6,BJ,a,h,AH,f,2,24,4,B_BJ_BJ6
B,BJ6,BJ,a,h,AH,f,3,20,4,B_BJ_BJ6
B,BJ6,BJ,a,h,AH,f,4,0,4,B_BJ_BJ6
B,BL22,BL,h,h,HH,f,1,22,4,B_BL_BL22
B,BL22,BL,h,h,HH,f,2,21,4,B_BL_BL22
B,BL22,BL,h,h,HH,f,3,14,4,B_BL_BL22
B,BL22,BL,h,h,HH,f,4,2,4,B_BL_BL22
B,BM25,BM,h,h,HH,f,1,16,4,B_BM_BM25
B,BM25,BM,h,h,HH,f,2,1,4,B_BM_BM25
B,BM25,BM,h,h,HH,f,3,0,4,B_BM_BM25
B,BM25,BM,h,h,HH,f,4,0,4,B_BM_BM25
B,BM8,BM,h,h,HH,f,1,40,4,B_BM_BM8
B,BM8,BM,h,h,HH,f,2,19,4,B_BM_BM8
B,BM8,BM,h,h,HH,f,3,4,4,B_BM_BM8
B,BM8,BM,h,h,HH,f,4,2,4,B_BM_BM8
B,BN19,BN,h,h,HH,f,1,22,4,B_BN_BN19
B,BN19,BN,h,h,HH,f,2,9,4,B_BN_BN19
B,BN19,BN,h,h,HH,f,3,3,4,B_BN_BN19
B,BN19,BN,h,h,HH,f,4,0,4,B_BN_BN19
B,BP24,BP,a,h,AH,f,1,8,4,B_BP_BP24
B,BP24,BP,a,h,AH,f,2,3,4,B_BP_BP24
B,BP24,BP,a,h,AH,f,3,2,4,B_BP_BP24
B,BP24,BP,a,h,AH,f,4,6,4,B_BP_BP24
B,BR17,BR,h,h,HH,f,1,36,4,B_BR_BR17
B,BR17,BR,h,h,HH,f,2,23,4,B_BR_BR17
B,BR17,BR,h,h,HH,f,3,11,4,B_BR_BR17
B,BR17,BR,h,h,HH,f,4,3,4,B_BR_BR17
B,BU22,BU,h,h,HH,f,2,2,4,B_BU_BU22
B,BU22,BU,h,h,HH,f,3,9,4,B_BU_BU22
B,BU22,BU,h,h,HH,f,4,2,4,B_BU_BU22
B,BX22,BX,h,h,HH,f,1,19,4,B_BX_BX22
B,BX22,BX,h,h,HH,f,2,13,4,B_BX_BX22
B,BX22,BX,h,h,HH,f,3,5,4,B_BX_BX22
B,BX22,BX,h,h,HH,f,4,0,4,B_BX_BX22
B,B?4,Bom,h,h,HH,f,1,38,4,B_Bom_B?4
B,B?4,Bom,h,h,HH,f,2,21,4,B_Bom_B?4
B,B?4,Bom,h,h,HH,f,3,14,4,B_Bom_B?4
B,B?4,Bom,h,h,HH,f,4,4,4,B_Bom_B?4
C,C?22,Cpi,h,h,HH,f,1,33,4,C_Cpi_C?22
C,C?22,Cpi,h,h,HH,f,2,14,4,C_Cpi_C?22
C,C?22,Cpi,h,h,HH,f,3,6,4,C_Cpi_C?22
C,C?22,Cpi,h,h,HH,f,4,0,4,C_Cpi_C?22
C,C©22,Cbox,h,h,HH,f,1,23,4,C_Cbox_C©22
C,C©22,Cbox,h,h,HH,f,2,0,4,C_Cbox_C©22
C,C©22,Cbox,h,h,HH,f,3,0,4,C_Cbox_C©22
C,C©22,Cbox,h,h,HH,f,4,14,4,C_Cbox_C©22
A,AC17,AC,a,h,AH,f,1,17,5,A_AC_AC17
A,AC17,AC,a,h,AH,f,2,19,5,A_AC_AC17
A,AC17,AC,a,h,AH,f,3,16,5,A_AC_AC17
A,AC17,AC,a,h,AH,f,4,4,5,A_AC_AC17
A,AC17,AC,a,h,AH,f,5,1,5,A_AC_AC17
A,AD1,AD,a,h,AH,f,1,31,5,A_AD_AD1
A,AD1,AD,a,h,AH,f,2,23,5,A_AD_AD1
A,AD1,AD,a,h,AH,f,3,13,5,A_AD_AD1
A,AD1,AD,a,h,AH,f,4,3,5,A_AD_AD1
A,AD1,AD,a,h,AH,f,5,0,5,A_AD_AD1
A,AE2,AE,a,h,AH,f,1,39,5,A_AE_AE2
A,AE2,AE,a,h,AH,f,2,25,5,A_AE_AE2
A,AE2,AE,a,h,AH,f,3,11,5,A_AE_AE2
A,AE2,AE,a,h,AH,f,4,6,5,A_AE_AE2
A,AE2,AE,a,h,AH,f,5,3,5,A_AE_AE2
A,AF20,AF,a,h,AH,f,1,26,5,A_AF_AF20
A,AF20,AF,a,h,AH,f,2,0,5,A_AF_AF20
A,AF20,AF,a,h,AH,f,3,0,5,A_AF_AF20
A,AF20,AF,a,h,AH,f,4,0,5,A_AF_AF20
A,AG14,AG,a,h,AH,f,1,42,5,A_AG_AG14
A,AG14,AG,a,h,AH,f,2,18,5,A_AG_AG14
A,AG14,AG,a,h,AH,f,3,0,5,A_AG_AG14
A,AG14,AG,a,h,AH,f,4,10,5,A_AG_AG14
A,AG14,AG,a,h,AH,f,5,0,5,A_AG_AG14
A,AI16,AI,a,h,AH,f,1,37,5,A_AI_AI16
A,AI16,AI,a,h,AH,f,2,19,5,A_AI_AI16
A,AI16,AI,a,h,AH,f,3,10,5,A_AI_AI16
A,AI16,AI,a,h,AH,f,4,5,5,A_AI_AI16
A,AI16,AI,a,h,AH,f,5,0,5,A_AI_AI16
A,AI8,AI,a,h,AH,f,1,30,5,A_AI_AI8
A,AI8,AI,a,h,AH,f,2,23,5,A_AI_AI8
A,AI8,AI,a,h,AH,f,3,14,5,A_AI_AI8
A,AI8,AI,a,h,AH,f,4,5,5,A_AI_AI8
A,AI8,AI,a,h,AH,f,5,0,5,A_AI_AI8
A,AL17,AL,a,h,AH,f,1,29,5,A_AL_AL17
A,AL17,AL,a,h,AH,f,2,20,5,A_AL_AL17
A,AL17,AL,a,h,AH,f,3,18,5,A_AL_AL17
A,AL17,AL,a,h,AH,f,4,1,5,A_AL_AL17
A,AL17,AL,a,h,AH,f,5,1,5,A_AL_AL17
A,AN17,AN,a,h,AH,f,1,30,5,A_AN_AN17
A,AN17,AN,a,h,AH,f,2,23,5,A_AN_AN17
A,AN17,AN,a,h,AH,f,3,4,5,A_AN_AN17
A,AN17,AN,a,h,AH,f,4,6,5,A_AN_AN17
A,AN17,AN,a,h,AH,f,5,1,5,A_AN_AN17
A,AN18,AN,a,h,AH,f,1,1,5,A_AN_AN18
A,AN18,AN,a,h,AH,f,2,0,5,A_AN_AN18
A,AN18,AN,a,h,AH,f,3,0,5,A_AN_AN18
A,AN18,AN,a,h,AH,f,4,0,5,A_AN_AN18
A,AN18,AN,a,h,AH,f,5,0,5,A_AN_AN18
A,AN9,AN,a,h,AH,f,1,29,5,A_AN_AN9
A,AN9,AN,a,h,AH,f,2,18,5,A_AN_AN9
A,AN9,AN,a,h,AH,f,3,13,5,A_AN_AN9
A,AN9,AN,a,h,AH,f,4,1,5,A_AN_AN9
A,AN9,AN,a,h,AH,f,5,0,5,A_AN_AN9
A,AP19,AP,a,h,AH,f,1,31,5,A_AP_AP19
A,AP19,AP,a,h,AH,f,2,10,5,A_AP_AP19
A,AP19,AP,a,h,AH,f,3,0,5,A_AP_AP19
A,AP19,AP,a,h,AH,f,4,8,5,A_AP_AP19
A,AP19,AP,a,h,AH,f,5,3,5,A_AP_AP19
A,AP3,AP,a,h,AH,f,1,38,5,A_AP_AP3
A,AP3,AP,a,h,AH,f,2,20,5,A_AP_AP3
A,AP3,AP,a,h,AH,f,3,9,5,A_AP_AP3
A,AP3,AP,a,h,AH,f,4,3,5,A_AP_AP3
A,AP3,AP,a,h,AH,f,5,0,5,A_AP_AP3
A,AQ15,AQ,h,h,HH,f,1,0,5,A_AQ_AQ15
A,AQ15,AQ,h,h,HH,f,2,0,5,A_AQ_AQ15
A,AQ15,AQ,h,h,HH,f,3,0,5,A_AQ_AQ15
A,AQ15,AQ,h,h,HH,f,4,0,5,A_AQ_AQ15
A,AQ15,AQ,h,h,HH,f,5,0,5,A_AQ_AQ15
A,AR17,AR,a,h,AH,f,1,23,5,A_AR_AR17
A,AR17,AR,a,h,AH,f,2,21,5,A_AR_AR17
A,AR17,AR,a,h,AH,f,3,16,5,A_AR_AR17
A,AR17,AR,a,h,AH,f,4,2,5,A_AR_AR17
A,AR17,AR,a,h,AH,f,5,0,5,A_AR_AR17
A,AR9,AR,a,h,AH,f,1,17,5,A_AR_AR9
A,AR9,AR,a,h,AH,f,2,7,5,A_AR_AR9
A,AR9,AR,a,h,AH,f,3,0,5,A_AR_AR9
A,AR9,AR,a,h,AH,f,4,5,5,A_AR_AR9
A,AR9,AR,a,h,AH,f,5,7,5,A_AR_AR9
A,AS19,AS,a,h,AH,f,1,32,5,A_AS_AS19
A,AS19,AS,a,h,AH,f,2,15,5,A_AS_AS19
A,AS19,AS,a,h,AH,f,3,16,5,A_AS_AS19
A,AS19,AS,a,h,AH,f,4,4,5,A_AS_AS19
A,AS19,AS,a,h,AH,f,5,0,5,A_AS_AS19
A,AT7,AT,a,h,AH,f,1,26,5,A_AT_AT7
A,AT7,AT,a,h,AH,f,2,24,5,A_AT_AT7
A,AT7,AT,a,h,AH,f,3,15,5,A_AT_AT7
A,AT7,AT,a,h,AH,f,4,1,5,A_AT_AT7
A,AT7,AT,a,h,AH,f,5,0,5,A_AT_AT7
A,AU3,AU,a,h,AH,f,1,19,5,A_AU_AU3
A,AU3,AU,a,h,AH,f,2,0,5,A_AU_AU3
A,AU3,AU,a,h,AH,f,3,0,5,A_AU_AU3
A,AU3,AU,a,h,AH,f,4,16,5,A_AU_AU3
A,AU3,AU,a,h,AH,f,5,11,5,A_AU_AU3
A,AV8,AV,a,h,AH,f,1,38,5,A_AV_AV8
A,AV8,AV,a,h,AH,f,2,19,5,A_AV_AV8
A,AV8,AV,a,h,AH,f,3,10,5,A_AV_AV8
A,AV8,AV,a,h,AH,f,4,4,5,A_AV_AV8
A,AV8,AV,a,h,AH,f,5,0,5,A_AV_AV8
A,AY1,AY,a,h,AH,f,1,42,5,A_AY_AY1
A,AY1,AY,a,h,AH,f,2,18,5,A_AY_AY1
A,AY1,AY,a,h,AH,f,3,6,5,A_AY_AY1
A,AY1,AY,a,h,AH,f,4,0,5,A_AY_AY1
A,AY1,AY,a,h,AH,f,5,0,5,A_AY_AY1
A,AZ9,AZ,h,h,HH,f,1,0,5,A_AZ_AZ9
A,AZ9,AZ,h,h,HH,f,2,0,5,A_AZ_AZ9
A,AZ9,AZ,h,h,HH,f,3,0,5,A_AZ_AZ9
A,AZ9,AZ,h,h,HH,f,4,0,5,A_AZ_AZ9
A,AZ9,AZ,h,h,HH,f,5,0,5,A_AZ_AZ9
B,B?5,Btr,h,h,HH,f,1,36,5,B_Btr_B?5
B,B?5,Btr,h,h,HH,f,2,19,5,B_Btr_B?5
B,B?5,Btr,h,h,HH,f,3,8,5,B_Btr_B?5
B,B?5,Btr,h,h,HH,f,4,1,5,B_Btr_B?5
B,B?5,Btr,h,h,HH,f,5,0,5,B_Btr_B?5
B,B?5,Btr,h,h,HH,f,6,0,5,B_Btr_B?5
B,B?8,Btr,h,h,HH,f,1,37,5,B_Btr_B?8
B,B?8,Btr,h,h,HH,f,2,15,5,B_Btr_B?8
B,B?8,Btr,h,h,HH,f,3,16,5,B_Btr_B?8
B,B?8,Btr,h,h,HH,f,4,3,5,B_Btr_B?8
B,B?8,Btr,h,h,HH,f,5,0,5,B_Btr_B?8
B,B?16,Bpi,h,h,HH,f,1,34,5,B_Bpi_B?16
B,B?16,Bpi,h,h,HH,f,2,18,5,B_Bpi_B?16
B,B?16,Bpi,h,h,HH,f,3,10,5,B_Bpi_B?16
B,B?16,Bpi,h,h,HH,f,4,9,5,B_Bpi_B?16
B,B?16,Bpi,h,h,HH,f,5,0,5,B_Bpi_B?16
B,B©29,Bbox,h,h,HH,f,1,19,5,B_Bbox_B©29
B,B©29,Bbox,h,h,HH,f,2,22,5,B_Bbox_B©29
B,B©29,Bbox,h,h,HH,f,3,18,5,B_Bbox_B©29
B,B©29,Bbox,h,h,HH,f,4,9,5,B_Bbox_B©29
B,B©29,Bbox,h,h,HH,f,5,0,5,B_Bbox_B©29
B,BA19,BA,h,h,HH,f,1,36,5,B_BA_BA19
B,BA19,BA,h,h,HH,f,2,23,5,B_BA_BA19
B,BA19,BA,h,h,HH,f,3,15,5,B_BA_BA19
B,BA19,BA,h,h,HH,f,4,3,5,B_BA_BA19
B,BA19,BA,h,h,HH,f,5,0,5,B_BA_BA19
B,BB11,BB,a,h,AH,f,1,27,5,B_BB_BB11
B,BB11,BB,a,h,AH,f,2,19,5,B_BB_BB11
B,BB11,BB,a,h,AH,f,3,13,5,B_BB_BB11
B,BB11,BB,a,h,AH,f,4,4,5,B_BB_BB11
B,BB11,BB,a,h,AH,f,5,0,5,B_BB_BB11
B,BC10,BC,h,h,HH,f,1,36,5,B_BC_BC10
B,BC10,BC,h,h,HH,f,2,12,5,B_BC_BC10
B,BC10,BC,h,h,HH,f,3,6,5,B_BC_BC10
B,BC10,BC,h,h,HH,f,4,2,5,B_BC_BC10
B,BC10,BC,h,h,HH,f,5,0,5,B_BC_BC10
B,BC25,BC,h,h,HH,f,1,34,5,B_BC_BC25
B,BC25,BC,h,h,HH,f,2,17,5,B_BC_BC25
B,BC25,BC,h,h,HH,f,3,13,5,B_BC_BC25
B,BC25,BC,h,h,HH,f,4,5,5,B_BC_BC25
B,BC25,BC,h,h,HH,f,5,0,5,B_BC_BC25
B,BC4,BC,h,h,HH,f,1,34,5,B_BC_BC4
B,BC4,BC,h,h,HH,f,2,18,5,B_BC_BC4
B,BC4,BC,h,h,HH,f,3,12,5,B_BC_BC4
B,BC4,BC,h,h,HH,f,4,3,5,B_BC_BC4
B,BC4,BC,h,h,HH,f,5,0,5,B_BC_BC4
B,BC9,BC,a,h,AH,f,1,32,5,B_BC_BC9
B,BC9,BC,a,h,AH,f,2,24,5,B_BC_BC9
B,BC9,BC,a,h,AH,f,3,15,5,B_BC_BC9
B,BC9,BC,a,h,AH,f,4,4,5,B_BC_BC9
B,BC9,BC,a,h,AH,f,5,1,5,B_BC_BC9
B,BD20,BD,h,h,HH,f,1,31,5,B_BD_BD20
B,BD20,BD,h,h,HH,f,2,27,5,B_BD_BD20
B,BD20,BD,h,h,HH,f,3,21,5,B_BD_BD20
B,BD20,BD,h,h,HH,f,4,7,5,B_BD_BD20
B,BD20,BD,h,h,HH,f,5,0,5,B_BD_BD20
B,BE7,BE,a,h,AH,f,1,39,5,B_BE_BE7
B,BE7,BE,a,h,AH,f,2,29,5,B_BE_BE7
B,BE7,BE,a,h,AH,f,3,15,5,B_BE_BE7
B,BE7,BE,a,h,AH,f,4,6,5,B_BE_BE7
B,BE7,BE,a,h,AH,f,5,1,5,B_BE_BE7
B,BF15,BF,a,h,AH,f,1,11,5,B_BF_BF15
B,BF15,BF,a,h,AH,f,2,2,5,B_BF_BF15
B,BF15,BF,a,h,AH,f,3,0,5,B_BF_BF15
B,BF15,BF,a,h,AH,f,4,0,5,B_BF_BF15
B,BF15,BF,a,h,AH,f,5,0,5,B_BF_BF15
B,BG1,BG,h,h,HH,f,1,45,5,B_BG_BG1
B,BG1,BG,h,h,HH,f,2,17,5,B_BG_BG1
B,BG1,BG,h,h,HH,f,3,9,5,B_BG_BG1
B,BG1,BG,h,h,HH,f,4,3,5,B_BG_BG1
B,BG1,BG,h,h,HH,f,5,0,5,B_BG_BG1
B,BG24,BG,a,h,AH,f,1,31,5,B_BG_BG24
B,BG24,BG,a,h,AH,f,2,19,5,B_BG_BG24
B,BG24,BG,a,h,AH,f,3,13,5,B_BG_BG24
B,BG24,BG,a,h,AH,f,4,9,5,B_BG_BG24
B,BG24,BG,a,h,AH,f,5,0,5,B_BG_BG24
B,BI1,BI,h,h,HH,f,1,28,5,B_BI_BI1
B,BI1,BI,h,h,HH,f,2,13,5,B_BI_BI1
B,BI1,BI,h,h,HH,f,3,6,5,B_BI_BI1
B,BI1,BI,h,h,HH,f,4,2,5,B_BI_BI1
B,BI1,BI,h,h,HH,f,5,0,5,B_BI_BI1
B,BI21,BI,a,h,AH,f,1,35,5,B_BI_BI21
B,BI21,BI,a,h,AH,f,2,24,5,B_BI_BI21
B,BI21,BI,a,h,AH,f,3,7,5,B_BI_BI21
B,BI21,BI,a,h,AH,f,4,18,5,B_BI_BI21
B,BI21,BI,a,h,AH,f,5,1,5,B_BI_BI21
B,BJ27,BJ,a,h,AH,f,1,25,5,B_BJ_BJ27
B,BJ27,BJ,a,h,AH,f,2,16,5,B_BJ_BJ27
B,BJ27,BJ,a,h,AH,f,3,18,5,B_BJ_BJ27
B,BJ27,BJ,a,h,AH,f,4,5,5,B_BJ_BJ27
B,BJ27,BJ,a,h,AH,f,5,0,5,B_BJ_BJ27
